,Call_Buy-Sell,Cmp_Name,Target_Price,Analyst_or_Cmp,Call_Time,Call_Time_normal,Call_Time_secs,Stop_Loss,From_Site
1,Buy,Cox and Kings,220,ICICI Direct,"November 23, 2018 03:06 PM",2018-11-23 03:06:00,"November 23, 2018 03:06 PM",#N/A,MoneyControl
2,Buy,IG Petrochemicals,646,Nalanda Securities,"November 23, 2018 03:05 PM",2018-11-23 03:05:00,"November 23, 2018 03:05 PM",#N/A,MoneyControl
3,Buy,Siyaram Silk Mills,460,ICICI Direct,"November 23, 2018 03:03 PM",2018-11-23 03:03:00,"November 23, 2018 03:03 PM",#N/A,MoneyControl
4,Buy,JK Lakshmi Cement,315,ICICI Direct,"November 23, 2018 03:02 PM",2018-11-23 03:02:00,"November 23, 2018 03:02 PM",#N/A,MoneyControl
5,Buy,Sunteck Realty,440,ICICI Direct,"November 23, 2018 02:54 PM",2018-11-23 02:54:00,"November 23, 2018 02:54 PM",#N/A,MoneyControl
6,Buy,Rupa and Company,370,ICICI Direct,"November 23, 2018 02:52 PM",2018-11-23 02:52:00,"November 23, 2018 02:52 PM",#N/A,MoneyControl
7,Buy,Himadri Speciality,160,ICICI Direct,"November 23, 2018 02:47 PM",2018-11-23 02:47:00,"November 23, 2018 02:47 PM",#N/A,MoneyControl
8,Buy,Shaily Engineering Plastics,1120,ICICI Direct,"November 23, 2018 02:42 PM",2018-11-23 02:42:00,"November 23, 2018 02:42 PM",#N/A,MoneyControl
9,Buy,Shree Pushkar Chemicals,225,ICICI Direct,"November 23, 2018 02:39 PM",2018-11-23 02:39:00,"November 23, 2018 02:39 PM",#N/A,MoneyControl
10,Buy,Natco Pharma,842,Geojit,"November 23, 2018 02:37 PM",2018-11-23 02:37:00,"November 23, 2018 02:37 PM",#N/A,MoneyControl
11,Buy,Maruti Suzuki India,8419,Geojit,"November 23, 2018 02:26 PM",2018-11-23 02:26:00,"November 23, 2018 02:26 PM",#N/A,MoneyControl
12,Buy,Coromandel International,512,Nalanda Securities,"November 23, 2018 02:21 PM",2018-11-23 02:21:00,"November 23, 2018 02:21 PM",#N/A,MoneyControl
13,Buy,Ashok Leyland,147,SPA Securities,"November 23, 2018 01:58 PM",2018-11-23 01:58:00,"November 23, 2018 01:58 PM",#N/A,MoneyControl
14,Buy,Indian Bank,335,SPA Securities,"November 23, 2018 01:56 PM",2018-11-23 01:56:00,"November 23, 2018 01:56 PM",#N/A,MoneyControl
15,Buy,Mirza International,113,Anand Rathi,"November 23, 2018 01:55 PM",2018-11-23 01:55:00,"November 23, 2018 01:55 PM",#N/A,MoneyControl
16,Buy,Aarti Drugs,745,Anand Rathi,"November 23, 2018 11:45 AM",2018-11-23 11:45:00,"November 23, 2018 11:45 AM",#N/A,MoneyControl
17,Buy,NBCC,80,ICICI Direct,"November 22, 2018 04:15 PM",2018-11-22 04:15:00,"November 22, 2018 04:15 PM",#N/A,MoneyControl
18,Buy,CESC,765,ICICI Direct,"November 22, 2018 04:14 PM",2018-11-22 04:14:00,"November 22, 2018 04:14 PM",#N/A,MoneyControl
19,Buy,Thermax,1315,ICICI Direct,"November 22, 2018 04:12 PM",2018-11-22 04:12:00,"November 22, 2018 04:12 PM",#N/A,MoneyControl
20,Buy,Vardhman Textiles,1220,ICICI Direct,"November 22, 2018 03:49 PM",2018-11-22 03:49:00,"November 22, 2018 03:49 PM",#N/A,MoneyControl
21,Buy,United Breweries,1490,ICICI Direct,"November 22, 2018 04:17 PM",2018-11-22 04:17:00,"November 22, 2018 04:17 PM",#N/A,MoneyControl
22,Sell,VST Tillers Tractors,1425,ICICI Direct,"November 22, 2018 03:38 PM",2018-11-22 03:38:00,"November 22, 2018 03:38 PM",#N/A,MoneyControl
